State,District,Rainfall(Total),Rainfall Recharge,Groundwater Recharge (ham),Surface Water Irrigation ,Ground Water Irrigation ,Fresh Total Ground Water Avialable,Saline Ground Water Avialable,Year
TAMILNADU,DHARMAPURI,868.7839,24282.4,312.78,0,16123,43029.8,0,2023
TAMILNADU,DINDIGUL,934.6951,27301.4,497.77,4228.44,21045.7,56087.7,0,2023
TAMILNADU,ERODE,716.9195,17671.9,538.88,35094.8,18473.4,66369.7,0,2023
TAMILNADU,KALLAKURICHCHI,1111.814,27997.6,1292.24,9800.86,18018.1,61034.4,0,2023
TAMILNADU,KANCHEEPURAM,1267.844,16343.9,3443.62,21834.8,6140.27,52255.1,0,2023
TAMILNADU,KANNIYAKUMARI,1260.591,8789,680.47,10737.4,960.42,29640.2,0,2023
TAMILNADU,KARUR,648.7942,13382.4,418.62,4909.31,8567.71,30795.2,0,2023
TAMILNADU,KRISHNAGIRI,792.9799,19715.6,21.73,5597.82,16475.3,4677097,0,2023
TAMILNADU,MADURAI,852.2824,25645.2,3276.63,14467.2,16945.3,73366.7,0,2023
TAMILNADU,MAYILADUTHURAI,1317.926,7102.8,17.72,28264.8,4295.47,35536.8,575.89,2023
TAMILNADU,NAGAPATTINAM,0,0,0,0,0,0,0,2023
TAMILNADU,NAMAKKAL,747.229,26321.7,486.84,6322.66,19137.5,54217,0,2023
TAMILNADU,PERAMBALUR,829.016,9833.46,99.01,1251.76,7213.22,22900,0,2023
TAMILNADU,PUDUKKOTTAI,943.6419,38958.2,6552.69,28589.2,13254.8,87294.9,2364.73,2023
TAMILNADU,RAMANATHAPURAM,714.5767,33450.6,2593.09,531.05,301.03,43770.4,405.86,2023
TAMILNADU,RANIPET,995.4878,14705.9,737.71,1546.1,8578.56,25830,0,2023
TAMILNADU,SALEM,896.9932,20903.1,1171.75,1339.12,18104.6,47696.2,0,2023
TAMILNADU,SIVAGANGAI,875.4883,30227.6,4536.96,26319.2,3263.42,102027,0,2023
TAMILNADU,TENKASI,801.7731,13556,1101.36,16372.2,10675.4,116675,0,2023
TAMILNADU,THANJAVUR,1016.413,65218.8,78.78,27053.2,4592.89,94354.2,0,2023
TAMILNADU,THE NILGIRIS,1802.814,14224,0,0,220.82,13267.2,0,2023
TAMILNADU,THENI,1269.418,10954.7,2245.39,6741.5,7124.5,28266,0,2023
TAMILNADU,THIRUVARUR,852.8763,7779.48,218.12,20858.2,373.34,21323.3,8295.16,2023
TAMILNADU,THOOTHUKUDI,654.8336,23498.8,2319.99,11946.6,4006.84,62013.4,0,2023
TAMILNADU,TIRUCHIRAPPALLI,742.1324,20128.1,2872.35,24416.9,18037.4,72493.1,0,2023
TAMILNADU,TIRUNELVELI,1971.921,40368.9,1209.78,20006.5,10586.6,156499,0,2023
TAMILNADU,TIRUPATHUR,856.7036,6155.39,59.22,0,3577.97,9033.43,0,2023
TAMILNADU,TIRUPPUR,629.3855,17672.7,443.14,21670.8,16070.1,260452,0,2023
TAMILNADU,TIRUVALLUR,1263.637,55873.1,8731.05,5931.83,12221.6,78655.7,2812.14,2023
TAMILNADU,TIRUVANNAMALAI,1069.299,28998,25443.3,13556.9,33170.1,2271511,0,2023
TAMILNADU,VELLORE,967.0539,7761.22,1323.32,0,5832.85,15335.2,0,2023
TAMILNADU,VILLUPURAM,966.9726,41807.2,7396.68,11270.2,28764.4,93425.1,0,2023
TAMILNADU,VIRUDHUNAGAR,793.2014,20273.6,16437.6,15931.9,14401.8,74736.4,0,2023
TELANGANA,Adilabad,1164.1,26523.5,372.77,2120.11,3947.32,55322.6,0,2023
TELANGANA,Bhadradri Kothagudem,1188.204,64933.1,1430.76,26954,7522.13,100957,0,2023
TELANGANA,Hanumakonda,976.5654,13179.2,4933.22,21700.4,9772.93,48106.2,0,2023
TELANGANA,Hyderabad,830.0895,1356.83,435.87,,0,77003.1,0,2023
TELANGANA,Jagtial,1031.715,19751.4,917.2,22740.2,8127.46,54334.6,0,2023
TELANGANA,Jangaon,893.7113,14780.5,2805.09,13527.6,5642.23,34617.1,0,2023
TELANGANA,Jayashankar Bhupalapally,1074.266,20589.4,14257.8,2341.45,6150.58,40071.2,0,2023
TELANGANA,Jogulamba Gadwal,578.0184,11971.8,2051.91,17134.6,4325.72,35763,0,2023
TELANGANA,Kamareddy,1003.563,31987.4,1987.16,21353.4,10214.2,197887,0,2023
TELANGANA,Karimnagar,907.1171,15961.8,6761.22,64718.2,9289.92,89374,0,2023
TELANGANA,Khammam,1042.012,36392.9,2541.92,48876,13445.7,93586.8,0,2023
TELANGANA,Komarambheem Asifabad,1154.81,33482.9,3188.74,10397.5,2630.16,64155.4,0,2023
TELANGANA,Mahabubabad,1112.564,29105.2,2594.64,15930.1,10514.3,56158.4,0,2023
TELANGANA,Mahabubnagar,657.1479,15247.1,3278.94,,7786.86,31527.9,0,2023
TELANGANA,Mancherial,1045.601,34109.2,27888.9,3343.94,10519.5,90662.8,0,2023
TELANGANA,Medak,868.0289,19124.7,10706.3,1725.27,6558.63,44388.9,0,2023
TELANGANA,Medchal Malkajgiri,767.2712,5442.53,1268.42,1544.06,1540.04,222443,0,2023
TELANGANA,Mulug,1375.013,33194.8,1767.23,7842.84,5490.65,53917.6,0,2023
TELANGANA,Nagarkurnool,667.342,31995.2,7079.57,14026.5,10826,304975,0,2023
TELANGANA,Nalgonda,697.0896,41435.1,967.19,51180.3,20108.4,459318,0,2023
TELANGANA,Narayanpet,549.432,11263.7,1667.98,10393.1,3758.88,27761.7,0,2023
TELANGANA,Nirmal,1056.57,27423.9,4289.45,22359.4,6429.32,64990.3,0,2023
TELANGANA,Nizamabad,987.6979,36575.6,9328.93,31447.5,23955.8,441710,0,2023
TELANGANA,Peddapalle,1013.696,16581.7,384.83,23557.8,6918.59,53797.2,0,2023
TELANGANA,Rajanna Siricilla,1144.213,17792.1,6118.43,12433.9,11759.5,45807.1,0,2023
TELANGANA,Rangareddy,715.0675,30365,16718.7,,9375.8,603021,0,2023
TELANGANA,Sangareddy,861.8313,30331.2,1808.55,377.61,4940.26,37516.7,0,2023
TELANGANA,Siddipet,784.011,23728.7,6983.48,6577.62,14185.4,158117,0,2023
TELANGANA,Suryapet,780.8158,23069.4,5779.22,18556.3,7678.27,345222,0,2023
TELANGANA,Vikarabad,809.6982,23187.4,3412.57,0,5170.01,192529,0,2023
TELANGANA,Wanaparthy,630.1284,4281.31,924.229,46914.6,10498,166521,0,2023
TELANGANA,Warangal,959.09,13035.1,2770.82,25051.7,7507.52,46297.7,0,2023
TELANGANA,Yadadri Bhuvanagiri,742.5827,23506.9,5157.1,19330,19263.9,318882,0,2023
TRIPURA,DHALAI,2433.974,21205.3,519.52,930.62,56.54,148223,0,2023
TRIPURA,GOMATI,2187.366,19946.2,546.89,3309.97,68.63,162179,0,2023
TRIPURA,KHOWAI,2223.763,9851.14,487.09,1762.49,136.99,75273.9,0,2023
TRIPURA,NORTH TRIPURA,2537.571,12433.8,692.57,581.88,13.53,81731.5,0,2023
TRIPURA,SEPAHIJALA,2051.776,14748.9,857.81,2966.53,318.16,131169,0,2023
TRIPURA,SOUTH TRIPURA,2450.634,21448.8,1236.54,2923.87,123.43,147277,0,2023
TRIPURA,UNAKOTI,2376.573,8895.96,425.98,1119.53,6.71,62553.8,0,2023
TRIPURA,WEST TRIPURA,2022.725,13982.2,1124.11,2246.35,323.21,115304,0,2023
UTTAR PRADESH,AGRA,614.65,38315,492.23,13319.4,14046.7,80518.7,0,2023
UTTAR PRADESH,ALIGARH,667.47,48702.2,469.8,5332.43,16685.9,91286.9,0,2023
UTTAR PRADESH,AMBEDKAR NAGAR,1013.3,53130.2,1274.82,4350,13154.4,72488.8,0,2023
UTTAR PRADESH,AMETHI,853,41774.9,1269.22,10587,14378.9,81110,0,2023
UTTAR PRADESH,AMROHA,902.59,40464.5,206.85,0,11356.8,50307.4,0,2023
UTTAR PRADESH,AURAIYA,624.8821,27581.8,290.92,9261.45,12300.5,61313.9,0,2023
UTTAR PRADESH,AYODHYA,952.71,50656.4,2311.06,2709.14,13654.7,85742.6,0,2023
UTTAR PRADESH,AZAMGARH,913.93,78955.2,3404.01,12277.4,18510,127154,0,2023
UTTAR PRADESH,BAGPAT,674.7575,17341,210.5,316.64,5648.46,32735.7,0,2023
UTTAR PRADESH,BAHRAICH,1158.8,85877.5,2519.26,2424,25237.1,139593,0,2023
UTTAR PRADESH,BALLIA,922.03,56638.4,1824.21,6545.5,15887.9,85893.2,0,2023
UTTAR PRADESH,BALRAMPUR,1065.2,62232.1,2599.02,891.15,15858.2,91195.9,0,2023
UTTAR PRADESH,BANDA,943.2,50435.8,4088.03,6853.94,11177.6,66450.2,0,2023
UTTAR PRADESH,BARABANKI,978.39,78573.5,2642.72,28404.3,36797.7,190799,0,2023
UTTAR PRADESH,BAREILLY,877.86,73476.6,1681.62,6663.71,23552.8,114240,0,2023
UTTAR PRADESH,BASTI,1110.78,67940.8,1131.74,0,13609.5,75397.2,0,2023
UTTAR PRADESH,BIJNOR,1053.5,97985.1,597.72,3385.5,25612.2,135119,0,2023
UTTAR PRADESH,BUDAUN,784.54,65662.4,1017.96,80,15658.6,76150.6,0,2023
UTTAR PRADESH,BULANDSHAHAR,673.13,44643.9,598.51,6116.96,38809.8,145393,0,2023
UTTAR PRADESH,CHANDAULI,949.06,31108.1,331.6,11451.4,7446.22,51421.9,0,2023
UTTAR PRADESH,CHITRAKOOT,943.2,32297,462.47,1934.03,7868.99,40047.2,0,2023
UTTAR PRADESH,DEORIA,1019.38,52459.7,2033.3,56357.2,23119,134167,0,2023
UTTAR PRADESH,ETAH,658.23,31068.9,644.85,26028.4,15207.3,78438.9,0,2023
UTTAR PRADESH,ETAWAH,587.48,27439.9,149.67,12012.5,9664.37,64705.9,0,2023
UTTAR PRADESH,FARRUKHABAD,753.48,30877.3,414.41,540.17,10202.6,43601.8,0,2023
UTTAR PRADESH,FATEHPUR,746.9,60710,1073.35,6721.79,18376.9,106603,0,2023
UTTAR PRADESH,FIROZABAD,656.92,31311.1,601,16198,13987.7,72500.8,0,2023
UTTAR PRADESH,G.B.NAGAR,537.16,13950.5,281.03,3764.37,13915.8,44664,0,2023
UTTAR PRADESH,GHAZIABAD,729.83,16097.4,77.8,1136.24,10558.5,38539.9,0,2023
UTTAR PRADESH,GHAZIPUR,853.77,59027,497.56,12537.4,17250.4,95654.6,0,2023
UTTAR PRADESH,GONDA,1047,78660.6,3147.91,81.35,20441.2,112973,0,2023
UTTAR PRADESH,GORAKHPUR,1338.3,74592.3,3426.86,60024.3,27580.2,159038,0,2023
UTTAR PRADESH,HAMIRPUR,735.88,32779.7,603.97,4573.27,5962.66,41346.3,0,2023
UTTAR PRADESH,HAPUR,788.32,18498,866,2068.41,12237.2,46636,0,2023
UTTAR PRADESH,HARDOI,816.35,98087.6,2221.3,10182.3,31122,161786,0,2023
UTTAR PRADESH,HATHRAS,618.98,22819.2,304.96,15763.9,11440.2,65431.6,0,2023
UTTAR PRADESH,JALAUN,687.2,65326.9,48.46,20910.4,14696.4,93767.6,0,2023
UTTAR PRADESH,JAUNPUR,901.72,69133.5,1427.48,15634.8,20828.1,119175,0,2023
UTTAR PRADESH,JHANSI,764.99,32707.7,417.63,25959.2,12150.5,67359,0,2023
UTTAR PRADESH,KANNAUJ,714.62,24960.6,339.34,1508.47,10931.3,54251,0,2023
UTTAR PRADESH,KANPUR DEHAT,670.38,43417.3,440.23,8585.53,14513,73560.4,0,2023
UTTAR PRADESH,KANPUR NAGAR,709.6,43580.7,724.79,6860.71,17302.3,80026.2,0,2023
UTTAR PRADESH,KASGANJ,724.77,27416.5,295.66,19043.4,12927.7,66587.3,0,2023
UTTAR PRADESH,KAUSHAMBI,846.45,31767,751.53,2240.83,9762.18,46266.9,0,2023
UTTAR PRADESH,KUSHI NAGAR,1112,49299.4,875.26,61688.4,22274.7,157016,0,2023
UTTAR PRADESH,LAKHIMPUR KHERI,1130,139913,3468.16,4803.97,37634,210316,0,2023
UTTAR PRADESH,LALITPUR,909.89,16130.4,699.81,12794.1,8085.96,36339.3,0,2023
UTTAR PRADESH,LUCKNOW,879.83,41891.2,890.82,4932.35,8444.48,76635,0,2023
UTTAR PRADESH,MAHOBA,809.7,9414.19,394.23,5577.27,6143.91,27843.3,0,2023
UTTAR PRADESH,MAHRAJGANJ,1389.1,69228.3,573.44,7239.51,17689.4,103591,0,2023
UTTAR PRADESH,MAINPURI,659.74,38118.3,1080.36,16686,17024.1,86235.2,0,2023
UTTAR PRADESH,MATHURA,556.89,36381,291.73,40839.9,24283.9,127931,0,2023
UTTAR PRADESH,MAUNATH BHANJAN,897.3,31453,2102.09,3421.46,7060.86,46650.6,0,2023
UTTAR PRADESH,MEERUT,856.89,45483.7,373.9,8702.36,12866.4,77691.2,0,2023
UTTAR PRADESH,MIRZAPUR,1003.2,26962.2,1031.99,21100.2,8031.72,57060.4,0,2023
UTTAR PRADESH,MORADABAD,902.59,41850.5,2044.74,3746.09,12806.9,64414,0,2023
UTTAR PRADESH,MUZAFFARNAGAR,869.1,47940.4,342.74,14034.7,19474,102813,0,2023
UTTAR PRADESH,PILIBHIT,1244.84,75538.8,1510.5,6759.65,21162.1,107757,0,2023
UTTAR PRADESH,PRATAPGARH,837.75,64345.8,829.1,16389,27246.7,129528,0,2023
UTTAR PRADESH,PRAYAGRAJ,843.09,73683.7,2036.7,30636.9,19695.5,128986,0,2023
UTTAR PRADESH,RAIBARELI,748.3,56874.3,2055.51,23636.6,17887.1,114976,0,2023
UTTAR PRADESH,RAMPUR,1051.61,48736,545.38,168.28,13073.4,74288.4,0,2023
UTTAR PRADESH,SAHARANPUR,1102.65,90875.3,379.09,8542.53,34852,137220,0,2023
UTTAR PRADESH,SAMBHAL,784.54,38992.6,719.47,41.6,7922.29,43439.1,0,2023
UTTAR PRADESH,SANT KABIR NAGAR,1253.92,43464,1062.61,600.7,7339.2,48574.5,0,2023
UTTAR PRADESH,SANT RAVIDAS NAGAR,949.6,18566,966.69,1762.01,15474.9,79063.9,0,2023
UTTAR PRADESH,SHAHJAHANPUR,898.18,91439.8,2255.27,1367.63,24221.5,123788,0,2023
UTTAR PRADESH,SHAMLI,869.1,23665.9,167.57,1136.17,10265.9,43708.5,0,2023
UTTAR PRADESH,SHRAWASTI,1184.51,44898.8,648.72,0,9434.38,52479.2,0,2023
UTTAR PRADESH,SIDDHARTH NAGAR,1158.57,69788.1,578.44,5332.87,14641,88147.2,0,2023
UTTAR PRADESH,SITAPUR,991.26,98708.4,2253.1,3491.07,33846.9,188034,0,2023
UTTAR PRADESH,SONBHADRA,973.09,15475.2,339.22,23814.5,6401.55,51768.3,0,2023
UTTAR PRADESH,SULTANPUR,887.59,49237.6,1892.54,6308.94,15103.2,84986.2,0,2023
UTTAR PRADESH,UNNAO,765.68,66500.3,2954.15,15099.8,26691.9,158167,0,2023
UTTAR PRADESH,VARANASI,925.78,28731.6,297.37,0,7791.12,46631.3,0,2023
UTTARAKHAND,DEHRADUN,2183.6,53918.4,0,118.38,2052.35,51042.8,0,2023
UTTARAKHAND,HARIDWAR,1020,31880.2,0,700.54,6862.68,43557.6,0,2023
UTTARAKHAND,NAINITAL,1711,21746.6,0,3300.53,2756.12,27032.3,0,2023
UTTARAKHAND,UDHAMSINGH NAGAR,1465.3,59392.1,0,3960.48,9949.17,74774.5,0,2023
WEST BENGAL,ALIPURDUAR,3468.3,1.24E+05,473.94,161.47,4214.75,2934105,0,2023
WEST BENGAL,BANKURA,1332.803,114780,12315.8,8335.45,22080.9,940100,0,2023
WEST BENGAL,BIRBHUM,1392.8,88718.7,11331.9,1549.08,11025.7,538878,0,2023
WEST BENGAL,DAKSHIN DINAJPUR,1584.9,79079.8,6033.72,2954.79,26030.5,688390,0,2023
WEST BENGAL,DARJILING,3118.5,41439.7,280.06,587.08,746.45,685919,0,2023
WEST BENGAL,HAORA,1600,20324.5,1180.35,504.79,556.23,197936,0,2023
WEST BENGAL,HUGLI,1476.1,97444.9,7363.92,3565.43,21799.6,1004814,0,2023
WEST BENGAL,JALPAIGURI,3468.3,181004,945.01,530.1,5715.23,5148860,0,2023
WEST BENGAL,JHARGRAM,1535.5,87674,1417.59,2663.52,9193.32,528314,0,2023
WEST BENGAL,KALIMPONG,3118.5,3714.73,0,287.58,0,117811,0,2023
WEST BENGAL,KOCH BIHAR,3286.3,166744,4539.78,484.1,35558.5,5409639,0,2023
WEST BENGAL,KOLKATTA,1623.6,0,0,0,0,0,0,2023
WEST BENGAL,MALDA,1447.2,94424.8,8055.01,2846.38,12506.1,1995029,0,2023
WEST BENGAL,MURSHIDABAD,1433.2,142349,12038.8,1285.32,40727.8,1476242,0,2023
WEST BENGAL,NADIA,1443.8,120705,7014.89,1422.71,60856.2,2659731,0,2023
WEST BENGAL,NORTH 24 PARGANAS,1623.6,96390.1,18530,433.2,37826.2,1498657,0,2023
WEST BENGAL,PASCHIM BARDDHAMAN,1348.2,19648.7,3872.66,242.23,996.28,308302,0,2023
WEST BENGAL,PASCHIM MEDINIPUR,1535.5,188110,7727.62,1581.76,43082.5,1449980,0,2023
WEST BENGAL,PURBA BARDDHAMAN,1348.2,148367,13928.2,1939.89,37388.4,1353110,0,2023
WEST BENGAL,PURBA MEDINIPUR,1669.6,56117.1,4506.71,167.88,6324.85,430270,0,2023
WEST BENGAL,PURULIYA,1363.3,39274.9,13301.9,5099.8,899.95,184788,0,2023
WEST BENGAL,SOUTH 24 PARGANAS,1623.6,0,0,0,0,0,0,2023
WEST BENGAL,UTTAR DINAJPUR,1912.4,94334.3,5638.32,553.57,19541.3,2507071,0,2023
